Edad,Total,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado,Anio
18,19672,2727,214,312,656,958,524,474,510,1178,721,422,1639,2105,1561,429,1840,851,531,309,539,509,656,7,0,12
19,23211,3457,258,370,835,1159,571,497,686,1305,868,553,1964,2369,1683,467,2204,1004,660,372,665,536,720,8,0,12
20,23342,3789,268,429,866,1144,571,509,686,1234,891,556,1937,2449,1806,462,1938,922,622,352,697,503,700,11,0,12
21,23468,3888,256,437,935,1140,590,534,761,1276,869,549,1919,2426,1692,452,1952,878,614,401,632,531,732,4,0,12
22,23458,4094,256,440,966,1126,605,610,681,1248,898,548,1820,2264,1589,512,2012,880,673,378,648,503,696,11,0,12
23,21955,3964,238,429,890,1031,605,504,640,1240,821,491,1674,2062,1507,410,1911,838,546,365,650,501,633,5,0,12
24,21261,3866,252,380,912,945,509,521,655,1143,825,488,1607,1978,1466,490,1893,739,556,341,588,466,628,13,0,12
25,19712,3691,225,404,810,831,452,463,634,998,751,433,1424,1855,1329,427,1704,723,505,335,591,505,618,4,0,12
26,18482,3465,188,390,809,764,499,455,539,952,709,366,1376,1716,1244,353,1637,650,478,284,591,426,586,5,0,12
27,17547,3224,176,341,747,738,434,451,548,935,674,360,1303,1651,1292,350,1547,630,430,284,499,406,521,5,1,12
28,16244,3058,184,311,677,652,399,418,489,896,616,344,1164,1524,1168,341,1432,595,359,251,500,370,488,8,0,12
29,15545,2957,165,305,707,544,354,436,497,828,545,296,1150,1515,1098,302,1373,548,402,224,510,395,387,7,0,12
30,14372,2735,136,308,661,541,341,404,439,786,496,266,1063,1300,999,302,1351,497,320,215,426,339,438,8,1,12
31,13259,2607,140,266,592,438,302,349,435,683,464,265,974,1258,961,278,1142,472,304,211,410,318,386,4,0,12
32,12058,2335,98,249,574,427,265,354,424,606,404,223,890,1132,933,231,1073,412,248,167,345,283,380,5,0,12
33,10721,1995,99,186,553,334,241,324,360,572,329,204,790,1006,923,223,962,376,246,162,308,231,289,8,0,12
34,9572,1731,92,178,448,289,211,301,378,449,311,168,733,955,825,197,858,337,231,137,259,240,242,2,0,12
35,8475,1494,63,144,427,241,180,242,362,416,262,170,684,825,748,166,732,297,209,113,257,194,244,5,0,12
36,7063,1148,68,111,316,203,163,249,281,377,219,118,560,678,695,121,659,256,153,103,199,157,222,7,0,12
37,6031,983,51,87,299,184,120,190,216,308,216,98,446,606,620,126,551,208,138,76,192,137,178,1,0,12
38,5201,783,50,79,232,154,114,196,174,260,193,85,433,520,541,94,494,186,114,84,150,112,152,1,0,12
39,4498,625,41,69,212,113,93,157,195,219,134,57,374,450,484,89,453,159,94,65,156,119,138,2,0,12
40,3561,521,24,66,179,88,88,109,152,200,109,70,260,357,346,74,332,126,85,51,112,110,102,0,0,12
41,2708,331,24,42,131,62,61,104,149,134,75,42,242,292,293,48,247,95,61,29,81,75,90,0,0,12
42,1937,240,15,27,89,50,46,68,98,113,46,30,193,230,185,36,160,67,45,22,64,55,58,0,0,12
43,1232,140,7,11,55,32,16,52,52,69,31,20,109,139,126,23,143,46,25,10,45,37,43,1,0,12
44,787,102,8,12,44,10,15,28,40,42,19,20,56,79,90,15,76,40,19,11,23,19,19,0,0,12
45,494,54,7,8,40,10,14,12,25,32,11,5,50,54,46,11,52,22,7,2,7,11,14,0,0,12
46,256,20,3,3,13,8,8,5,8,12,10,3,33,20,27,9,24,21,7,4,10,4,4,0,0,12
47,150,18,2,2,6,4,1,2,3,8,3,2,15,21,14,3,15,9,3,2,3,3,11,0,0,12
48,101,7,2,0,1,1,1,4,5,9,0,0,10,23,9,3,9,5,4,3,2,0,3,0,0,12
49,83,8,1,0,3,4,0,1,3,2,1,1,13,10,7,2,13,4,2,1,3,2,2,0,0,12
50,62,5,1,0,1,1,0,0,3,1,1,0,8,14,9,3,4,5,3,0,1,0,2,0,0,12
51,48,3,0,0,1,2,0,1,3,1,1,1,8,6,6,2,6,3,1,2,0,0,1,0,0,12
52,31,0,0,1,1,0,0,2,5,1,1,1,7,3,4,0,2,0,2,0,1,0,0,0,0,12
53,22,3,0,0,0,0,0,0,0,1,1,0,3,4,1,0,3,3,1,0,0,0,2,0,0,12
54,26,1,0,0,0,0,1,0,3,4,0,0,3,4,4,0,2,1,1,0,1,0,1,0,0,12
55,17,0,1,0,0,1,0,0,3,0,0,0,1,5,2,0,1,0,0,0,1,0,2,0,0,12
56,12,0,0,0,0,0,2,0,1,1,0,0,1,2,0,1,1,3,0,0,0,0,0,0,0,12
57,10,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,1,1,0,0,0,0,1,0,0,12
58,12,0,0,0,0,0,0,0,0,0,0,0,6,0,3,2,0,0,0,0,0,0,1,0,0,12
59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,12
Ignorado,122,27,0,2,6,3,1,2,3,4,0,4,4,3,7,1,3,6,4,1,5,1,2,1,32,12
Todas las edades,387342,65920,4202,7004,15755,16401,9478,10051,12239,20265,13920,8158,30193,37732,29359,7889,34119,15510,10404,6132,10954,9556,11836,225,40,13
10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13
11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,13
12,57,10,0,0,2,8,1,1,2,4,1,0,3,2,3,0,3,5,1,3,1,3,4,0,0,13
13,297,22,3,1,5,21,14,2,4,12,19,3,23,20,17,3,36,36,22,9,5,12,8,0,0,13
14,1551,156,17,13,21,91,44,28,30,85,50,40,110,132,111,34,163,164,74,38,49,50,51,0,0,13
15,4834,445,72,57,96,263,145,69,98,262,183,118,367,547,342,100,478,415,208,107,162,136,163,1,0,13
16,10091,1096,104,117,269,564,308,206,226,539,375,221,838,1144,757,222,1019,669,356,193,284,262,322,0,0,13
17,15448,1918,192,224,445,803,456,296,389,876,581,346,1291,1747,1156,338,1493,813,495,253,441,406,486,3,0,13
18,18867,2620,226,325,625,963,515,423,492,1093,709,465,1627,1919,1380,441,1738,890,547,271,538,468,590,2,0,13
19,23077,3473,227,389,753,1071,585,489,709,1234,863,559,1859,2423,1822,509,2108,1004,698,365,650,581,695,11,0,13
20,23559,3703,255,423,842,1107,612,541,701,1266,934,530,1968,2378,1767,526,2111,949,700,382,581,572,702,9,0,13
21,23620,3933,247,413,930,1147,579,572,719,1263,866,545,1955,2333,1747,505,1988,913,629,373,603,584,757,19,0,13
22,23016,3969,253,394,950,1093,611,517,700,1236,851,532,1835,2284,1591,450,1950,809,629,424,679,543,702,14,0,13
23,22745,4035,275,460,954,1109,584,549,746,1268,834,484,1714,2175,1628,440,1834,858,644,340,603,552,649,10,0,13
