Grupos quinquenales de edad,Total,TotalH,TotalM,Urban,UrbanH,UrbanM,Rural,RuralH,RuralM,Ignorado,IgnoradoH,IgnoradoM,Victima o Agresor,Anio
15 a 19,2286,144,2142,1093,76,1017,1143,63,1080,50,5,45,V,18,
20 a 24,5623,416,5207,3068,225,2843,2427,185,2242,128,6,122,V,18,
25 a 29,5517,484,5033,3272,280,2992,2116,194,1922,129,10,119,V,18,
30 a 34,4727,497,4230,2770,322,2448,1850,164,1686,107,11,96,V,18,
35 a 39,3762,484,3278,2220,296,1924,1465,181,1284,77,7,70,V,18,
40 a 44,2550,362,2188,1468,224,1244,1021,129,892,61,9,52,V,18,
45 a 49,1518,251,1267,874,143,731,615,104,511,29,4,25,V,18,
50 a 54,1068,223,845,628,134,494,408,85,323,32,4,28,V,18,
55 a 59,772,215,557,426,122,304,324,85,239,22,8,14,V,18,
60 a 64,527,139,388,306,73,233,207,64,143,14,2,12,V,18,
65 a 69,375,132,243,205,64,141,161,62,99,9,6,3,V,18,
70 a 74,271,106,165,143,50,93,118,51,67,10,5,5,V,18,
75 a 79,167,77,90,98,40,58,66,36,30,3,1,2,V,18,
80 y más,207,98,109,113,47,66,92,49,43,2,2,0,V,18,
Ignorado,325,28,297,208,17,191,99,9,90,18,2,16,V,18,
Total,29992,25367,4625,17014,14267,2747,12278,10494,1784,700,606,94,A,18,
10 a 14,25,15,10,15,9,6,10,6,4,0,0,0,A,18,
15 a 19,1046,814,232,533,410,123,488,384,104,25,20,5,A,18,
20 a 24,4378,3701,677,2322,1939,383,1950,1671,279,106,91,15,A,18,
25 a 29,5511,4706,805,3180,2688,492,2231,1934,297,100,84,16,A,18,
30 a 34,5079,4403,676,2990,2572,418,1984,1736,248,105,95,10,A,18,
35 a 39,4226,3603,623,2505,2110,395,1619,1403,216,102,90,12,A,18,
40 a 44,3001,2569,432,1735,1479,256,1201,1032,169,65,58,7,A,18,
45 a 49,1909,1595,314,1026,851,175,844,709,135,39,35,4,A,18,
50 a 54,1185,939,246,684,538,146,483,385,98,18,16,2,A,18,
55 a 59,721,584,137,396,313,83,310,257,53,15,14,1,A,18,
60 a 64,426,338,88,223,170,53,190,158,32,13,10,3,A,18,
65 a 69,247,191,56,117,87,30,123,99,24,7,5,2,A,18,
70 a 74,110,85,25,76,59,17,32,25,7,2,1,1,A,18,
75 a 79,55,42,13,26,19,7,28,22,6,1,1,0,A,18,
80 y más,38,31,7,21,18,3,16,12,4,1,1,0,A,18,
Ignorado,2035,1751,284,1165,1005,160,769,661,108,101,85,16,A,18,
Total,31898,4289,27609,17393,2359,15034,13611,1817,11794,894,113,781,V,19,
 0 a 04,36,16,20,18,9,9,18,7,11,-,-,-,V,19,
05 a 09,71,36,35,40,19,21,28,16,12,3,1,2,V,19,
10 a 14,185,38,147,86,20,66,94,16,78,5,2,3,V,19,
15 a 19,2281,119,2162,1083,60,1023,1144,57,1087,54,2,52,V,19,
20 a 24,5720,487,5233,2954,240,2714,2614,231,2383,152,16,136,V,19,
25 a 29,5944,603,5341,3369,342,3027,2420,241,2179,155,20,135,V,19,
30 a 34,5029,572,4457,2915,338,2577,1992,218,1774,122,16,106,V,19,
35 a 39,4030,527,3503,2298,324,1974,1610,193,1417,122,10,112,V,19,
40 a 44,2847,413,2434,1545,248,1297,1228,159,1069,74,6,68,V,19,
45 a 49,1707,297,1410,948,179,769,706,109,597,53,9,44,V,19,
50 a 54,1119,250,869,628,138,490,453,104,349,38,8,30,V,19,
55 a 59,759,199,560,396,95,301,347,102,245,16,2,14,V,19,
60 a 64,610,195,415,325,105,220,272,89,183,13,1,12,V,19,
