Grupo de edades,Total,Ninguno,Primaria,Básico,Diversificado,Universitario,Ignorado,Sexo,Victima o Agresor,Anio
30 a 34,424,34,149,80,122,29,10,H,V,15
35 a 39,370,30,135,54,107,35,9,H,V,15
40 a 44,296,47,119,44,59,21,6,H,V,15
45 a 49,205,20,100,27,40,11,7,H,V,15
50 a 54,158,30,65,21,21,12,9,H,V,15
55 a 59,174,39,95,10,18,6,6,H,V,15
60 a 64,128,38,59,12,10,5,4,H,V,15
65 a 69,111,35,53,10,7,4,2,H,V,15
70 a 74,86,42,32,2,6,2,2,H,V,15
75 a 79,68,34,25,2,4,1,2,H,V,15
80 y más,102,56,32,3,7,2,2,H,V,15
Ignorado,31,6,5,3,9,2,6,H,V,15
07 a 09,32,2,28,0,0,0,2,M,V,15
10 a 14,238,23,153,46,0,0,16,M,V,15
15 a 19,2759,376,1304,689,307,8,75,M,V,15
20 a 24,5619,729,2250,1164,1205,120,151,M,V,15
25 a 29,5515,855,2139,922,1279,179,141,M,V,15
30 a 34,4738,939,1860,661,999,174,105,M,V,15
35 a 39,3615,873,1378,449,660,154,101,M,V,15
40 a 44,2209,627,904,223,333,71,51,M,V,15
45 a 49,1334,462,542,107,159,43,21,M,V,15
50 a 54,888,343,348,56,88,34,19,M,V,15
55 a 59,539,229,204,41,42,9,14,M,V,15
60 a 64,368,179,127,19,30,8,5,M,V,15
65 a 69,225,119,65,10,22,2,7,M,V,15
70 a 74,141,77,49,3,6,2,4,M,V,15
75 a 79,77,48,22,1,2,2,2,M,V,15
80 y más,105,66,24,3,8,0,4,M,V,15
Ignorado,268,49,101,40,44,11,23,M,V,15
10 a 14,12,2,6,3,0,0,1,H,A,15
15 a 19,988,127,468,254,98,3,38,H,A,15
20 a 24,4273,431,1875,988,775,43,161,H,A,15
25 a 29,5259,575,2084,1083,1205,100,212,H,A,15
30 a 34,4987,604,2100,948,1064,122,149,H,A,15
35 a 39,4155,583,1854,680,784,115,139,H,A,15
40 a 44,2757,493,1217,427,439,96,85,H,A,15
45 a 49,1778,358,826,205,262,71,56,H,A,15
50 a 54,1154,290,492,118,177,41,36,H,A,15
55 a 59,636,168,295,53,66,32,22,H,A,15
60 a 64,383,119,166,26,37,25,10,H,A,15
65 a 69,190,70,76,11,17,11,5,H,A,15
70 a 74,87,37,30,5,13,1,1,H,A,15
75 a 79,62,25,19,3,10,0,5,H,A,15
80 y más,25,11,8,3,1,0,2,H,A,15
Ignorado,1205,265,308,101,115,16,400,H,A,15
10 a 14,8,1,3,2,0,0,2,M,A,15
15 a 19,254,16,109,87,34,1,7,M,A,15
20 a 24,601,81,227,140,126,10,17,M,A,15
25 a 29,659,100,247,113,154,22,23,M,A,15
30 a 34,614,104,255,99,116,25,15,M,A,15
35 a 39,515,116,199,73,92,16,19,M,A,15
40 a 44,376,110,144,44,51,14,13,M,A,15
45 a 49,282,104,113,21,25,12,7,M,A,15
50 a 54,197,80,70,17,20,5,5,M,A,15
55 a 59,125,56,52,5,8,2,2,M,A,15
60 a 64,67,31,24,1,8,2,1,M,A,15
65 a 69,42,23,16,3,0,0,0,M,A,15
70 a 74,18,9,6,1,0,1,1,M,A,15
75 a 79,5,2,2,0,1,0,0,M,A,15
80 y más,7,7,0,0,0,0,0,M,A,15
Ignorado,208,50,48,12,16,4,78,M,A,15
07 a 09,26,2,23,0,0,0,1,H,V,16
10 a 14,56,1,45,8,0,0,2,H,V,16
15 a 19,131,5,40,47,26,6,7,H,V,16
20 a 24,343,21,120,87,105,8,2,H,V,16
25 a 29,452,28,121,102,165,27,9,H,V,16
30 a 34,471,33,151,93,149,39,6,H,V,16
35 a 39,395,39,141,69,109,25,12,H,V,16
40 a 44,279,27,112,51,75,10,4,H,V,16
