Grupos de edad,Total,Alfabeta,Analfabeta,Ignorado,Sexo,Victima o Agresor,Anio
55 a 59,204,158,43,3,H,V,17
60 a 64,164,117,45,2,H,V,17
65 a 69,128,90,38,0,H,V,17
70 a 74,100,57,42,1,H,V,17
75 a 79,78,43,32,3,H,V,17
80 y más,73,43,30,0,H,V,17
Ignorado,27,21,5,1,H,V,17
Total,26662,21893,4647,122,M,V,17
07 a 09,25,18,7,0,M,V,17
10 a 14,186,168,16,2,M,V,17
15 a 19,2240,2010,223,7,M,V,17
20 a 24,5256,4738,505,13,M,V,17
25 a 29,5165,4529,619,17,M,V,17
30 a 34,4239,3559,665,15,M,V,17
35 a 39,3399,2735,642,22,M,V,17
40 a 44,2181,1635,532,14,M,V,17
45 a 49,1428,969,452,7,M,V,17
50 a 54,804,530,269,5,M,V,17
55 a 59,477,291,183,3,M,V,17
60 a 64,336,181,151,4,M,V,17
65 a 69,226,101,125,0,M,V,17
70 a 74,148,60,87,1,M,V,17
75 a 79,90,33,57,0,M,V,17
80 y más,100,44,56,0,M,V,17
Ignorado,362,292,58,12,M,V,17
05 a 09,2,2,0,0,H,A,17
10 a 14,13,10,1,2,H,A,17
15 a 19,794,730,60,4,H,A,17
20 a 24,3830,3529,266,35,H,A,17
25 a 29,4877,4471,369,37,H,A,17
30 a 34,4456,4062,364,30,H,A,17
35 a 39,3977,3530,417,30,H,A,17
40 a 44,2555,2215,321,19,H,A,17
45 a 49,1657,1417,228,12,H,A,17
50 a 54,1067,815,244,8,H,A,17
55 a 59,616,496,117,3,H,A,17
60 a 64,342,256,81,5,H,A,17
65 a 69,192,131,59,2,H,A,17
05 a 09,0,0,0,0,M,A,17
10 a 14,8,7,1,0,M,A,17
15 a 19,280,250,29,1,M,A,17
20 a 24,704,625,76,3,M,A,17
25 a 29,747,635,108,4,M,A,17
30 a 34,604,487,115,2,M,A,17
35 a 39,591,466,122,3,M,A,17
40 a 44,434,337,91,6,M,A,17
45 a 49,306,201,102,3,M,A,17
50 a 54,221,148,72,1,M,A,17
55 a 59,118,80,38,0,M,A,17
