Departamento de ocurrencia,Pueblo de pertenencia de la madre,Total,Menos de 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 y más,Ignorado,Anio,Departamento de residencia
Alta Verapaz,Indígena,30519,262,5790,8667,6715,4645,2672,959,86,32,691,09,
Alta Verapaz,No indígena,1323,5,208,418,323,206,101,24,7,2,29,09,
Alta Verapaz,Ignorado,1083,4,171,225,171,146,58,28,4,2,274,09,
Alta Verapaz,Todos los grupos étnicos,13076,117,2581,3800,2848,1899,1072,353,36,4,366,09,
Alta Verapaz,Indígena,11618,112,2338,3377,2529,1672,972,325,28,3,262,09,
Alta Verapaz,No indígena,1120,3,171,348,275,181,86,22,6,1,27,09,
Alta Verapaz,Ignorado,338,2,72,75,44,46,14,6,2,0,77,09,
Alta Verapaz,Todos los grupos étnicos,18895,150,3433,5259,4163,2944,1670,620,55,30,571,09,
Alta Verapaz,Indígena,18160,147,3327,5090,4029,2853,1623,602,52,28,409,09,
Alta Verapaz,No indígena,181,1,31,64,43,21,15,2,1,1,2,09,
Alta Verapaz,Ignorado,554,2,75,105,91,70,32,16,2,1,160,09,
Alta Verapaz,Todos los grupos étnicos,954,4,155,251,198,154,89,38,6,2,57,09,
Alta Verapaz,Indígena,741,3,125,200,157,120,77,32,6,1,20,09,
Alta Verapaz,No indígena,22,1,6,6,5,4,0,0,0,0,0,09,
Alta Verapaz,Ignorado,191,0,24,45,36,30,12,6,0,1,37,09,
Petén,Todos los grupos étnicos,13632,239,2864,3790,2886,1898,1014,394,64,34,449,09,
Petén,Indígena,4480,78,910,1190,979,680,352,152,28,14,97,09,
Petén,No indígena,7820,146,1732,2226,1596,1033,576,198,27,19,267,09,
Petén,Ignorado,1332,15,222,374,311,185,86,44,9,1,85,09,
Petén,Todos los grupos étnicos,6291,112,1341,1825,1338,851,430,148,19,1,226,09,
Petén,Indígena,1207,32,266,311,246,181,104,36,3,1,27,09,
Petén,No indígena,4225,68,922,1268,879,552,276,89,10,0,161,09,
Petén,Ignorado,859,12,153,246,213,118,50,23,6,0,38,09,
Petén,Todos los grupos étnicos,7063,124,1457,1899,1494,1004,562,237,41,33,212,09,
Petén,Indígena,3215,44,632,864,721,490,246,114,23,13,68,09,
Petén,No indígena,3390,77,759,912,679,448,280,102,16,19,98,09,
Petén,Ignorado,458,3,66,123,94,66,36,21,2,1,46,09,
Petén,Todos los grupos étnicos,278,3,66,66,54,43,22,9,4,0,11,09,
Petén,Indígena,58,2,12,15,12,9,2,2,2,0,2,09,
Petén,No indígena,205,1,51,46,38,33,20,7,1,0,8,09,
Petén,Ignorado,15,0,3,5,4,1,0,0,1,0,1,09,
Izabal,Todos los grupos étnicos,8956,129,1834,2610,1913,1176,675,227,28,12,352,09,
Izabal,Indígena,2625,37,561,732,539,355,207,90,4,2,98,09,
Izabal,No indígena,3539,57,708,1031,747,444,266,80,9,6,191,09,
Izabal,Ignorado,2792,35,565,847,627,377,202,57,15,4,63,09,
Izabal,Todos los grupos étnicos,5385,71,1118,1646,1209,648,361,95,13,5,219,09,
Izabal,Indígena,1053,16,231,300,222,114,91,37,1,1,40,09,
Izabal,No indígena,2161,32,444,652,487,246,129,27,4,1,139,09,
Izabal,Ignorado,2171,23,443,694,500,288,141,31,8,3,40,09,
Izabal,Todos los grupos étnicos,3528,58,705,957,694,520,310,132,15,7,130,09,
Izabal,Indígena,1560,21,326,428,314,241,116,53,3,1,57,09,
Izabal,No indígena,1358,25,260,377,255,192,134,53,5,5,52,09,
Izabal,Ignorado,610,12,119,152,125,87,60,26,7,1,21,09,
Izabal,Todos los grupos étnicos,43,0,11,7,10,8,4,0,0,0,3,09,
Izabal,Indígena,12,0,4,4,3,0,0,0,0,0,1,09,
Izabal,No indígena,20,0,4,2,5,6,3,0,0,0,0,09,
Izabal,Ignorado,11,0,3,1,2,2,1,0,0,0,2,09,
Zacapa,Todos los grupos étnicos,5626,98,1139,1664,1260,730,394,121,11,5,204,09,
Zacapa,Indígena,14,0,1,6,3,3,0,1,0,0,0,09,
Zacapa,No indígena,4972,88,1005,1465,1130,655,361,108,10,5,145,09,
Zacapa,Ignorado,640,10,133,193,127,72,33,12,1,0,59,09,
Zacapa,Todos los grupos étnicos,4133,76,871,1252,948,529,237,71,2,2,145,09,
Zacapa,Indígena,7,0,1,2,2,2,0,0,0,0,0,09,
Zacapa,No indígena,3731,68,776,1125,869,490,222,67,2,2,110,09,
Zacapa,Ignorado,395,8,94,125,77,37,15,4,0,0,35,09,
Zacapa,Todos los grupos étnicos,1457,21,263,404,309,192,155,48,9,3,53,09,
Zacapa,Indígena,6,0,0,4,1,0,0,1,0,0,0,09,
Zacapa,No indígena,1219,19,224,334,259,161,138,39,8,3,34,09,
Zacapa,Ignorado,232,2,39,66,49,31,17,8,1,0,19,09,
Zacapa,Todos los grupos étnicos,36,1,5,8,3,9,2,2,0,0,6,09,
Zacapa,Indígena,1,0,0,0,0,1,0,0,0,0,0,09,
Zacapa,No indígena,22,1,5,6,2,4,1,2,0,0,1,09,
Zacapa,Ignorado,13,0,0,2,1,4,1,0,0,0,5,09,
Chiquimula,Todos los grupos étnicos,10181,86,1791,2801,2356,1563,871,286,31,9,387,09,
Chiquimula,Indígena,2312,14,392,639,506,393,237,85,7,1,38,09,
Chiquimula,No indígena,6978,61,1248,1922,1663,1055,566,180,20,8,255,09,
Chiquimula,Ignorado,891,11,151,240,187,115,68,21,4,0,94,09,
Chiquimula,Todos los grupos étnicos,3919,35,666,1161,945,560,279,85,12,2,174,09,
